iter	Passed	Remaining
664	104800	52794
665	104904	52609
666	105000	52421
667	105131	52251
668	105235	52067
669	105355	51891
670	105486	51721
671	105607	51546
672	105736	51375
673	105866	51205
674	105990	51032
675	106101	50853
676	106214	50675
677	106311	50489
678	106437	50318
679	106550	50141
680	106659	49962
681	106778	49788
682	106891	49611
683	107024	49443
684	107161	49278
685	107267	49098
686	107378	48922
687	107507	48753
688	107637	48585
689	107769	48418
690	107868	48236
691	108021	48078
692	108156	47913
693	108285	47745
694	108384	47564
695	108487	47385
696	108599	47210
697	108732	47044
698	108880	46885
699	108999	46714
700	109124	46545
701	109245	46374
702	109362	46202
703	109483	46032
704	109622	45870
705	109764	45709
706	109903	45546
707	110046	45386
708	110171	45218
709	110296	45050
710	110414	44880
711	110517	44703
712	110648	44538
713	110777	44373
714	110918	44212
715	111022	44036
716	111168	43878
717	111293	43711
718	111456	43559
719	111594	43397
720	111747	43241
721	111894	43083
722	112045	42927
723	112165	42759
724	112275	42587
725	112418	42427
726	112561	42268
727	112674	42098
728	112803	41933
729	112914	41762
730	113026	41592
731	113131	41419
732	113245	41250
733	113378	41088
734	113500	40922
735	113632	40759
736	113748	40591
737	113869	40425
738	113994	40260
739	114112	40093
740	114229	39926
741	114361	39764
742	114467	39593
743	114577	39424
744	114709	39263
745	114814	39092
746	114940	38928
747	115065	38765
748	115218	38611
749	115380	38460
750	115539	38307
751	115757	38175
752	115965	38039
753	116136	37890
754	116292	37737
755	116400	37568
756	116540	37410
757	116840	37302
758	117375	37269
759	117621	37143
760	117956	37045
761	118212	36922
762	118444	36790
763	118619	36641
764	118776	36486
765	118933	36332
766	119124	36187
767	119289	36035
768	119453	35882
769	119598	35724
770	119727	35561
771	119884	35406
772	120031	35248
773	120172	35089
774	120295	34924
775	120493	34781
776	120638	34623
777	120763	34459
778	120925	34306
779	121096	34155
780	121212	33989
781	121381	33837
782	121555	33687
783	121709	33532
784	121897	33386
785	122041	33227
786	122200	33073
787	122371	32922
788	122513	32763
789	122657	32605
790	122818	32451
791	122944	32288
792	123074	32126
793	123224	31970
794	123360	31810
795	123474	31644
796	123599	31481
797	123723	31318
798	123845	31155
799	123961	30990
800	124083	30827
801	124204	30663
802	124337	30503
803	124466	30342
804	124604	30183
805	124715	30018
806	124827	29853
807	124935	29687
808	125047	29523
809	125174	29361
810	125321	29205
811	125429	29040
812	125553	28878
813	125649	28711
814	125760	28546
815	125869	28382
816	126000	28222
817	126103	28057
818	126247	27900
819	126376	27741
820	126508	27582
821	126621	27419
822	126748	27259
823	126875	27099
824	126991	26937
825	127121	26778
826	127247	26618
827	127380	26460
828	127479	26295
829	127589	26132
830	127721	25974
831	127834	25812
832	127927	25646
833	128066	25490
834	128172	25327
835	128294	25167
836	128409	25006
837	128501	24841
838	128627	24683
839	128757	24525
840	128890	24368
841	129009	24208
842	129131	24049
843	129250	23889
844	129388	23733
845	129502	23573
846	129642	23418
847	129766	23260
848	129912	23105
849	130029	22946
850	130155	22788
851	130284	22631
852	130373	22467
853	130475	22306
854	130599	22148
855	130717	21989
856	130837	21831
857	130979	21677
858	131103	21519
859	131215	21360
860	131325	21201
861	131439	21042
862	131547	20883
863	131690	20729
864	131809	20571
865	131931	20414
866	132063	20258
867	132170	20099
868	132316	19946
869	132434	19789
870	132525	19627
871	132648	19471
872	132753	19312
873	132868	19154
874	132991	18998
875	133113	18842
876	133229	18685
877	133341	18528
878	133436	18368
879	133541	18210
880	133667	18054
881	133786	17898
882	133911	17743
883	134005	17584
884	134146	17431
885	134256	17274
886	134373	17118
887	134487	16962
888	134607	16807
889	134753	16654
890	134905	16503
891	135012	16346
892	135153	16194
893	135282	16040
894	135425	15887
895	135566	15735
896	135702	15582
897	135836	15429
898	135940	15272
899	136075	15119
900	136215	14967
901	136363	14815
902	136485	14661
903	136605	14506
904	136746	14354
905	136872	14200
906	137004	14047
907	137179	13899
908	137365	13751
909	137594	13608
910	137802	13462
911	137945	13310
912	138075	13157
913	138340	13016
914	138926	12905
915	139159	12761
916	139367	12614
917	139568	12466
918	140199	12357
919	140494	12216
920	140667	12065
921	140792	11910
922	141047	11766
923	141215	11615
